"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2013","Hanko","Debts total","All household-dwelling units",222288783,48503
"2013","Hanko","Housing loans","All household-dwelling units",175459162,38285
"2013","Hanko","Other debts","All household-dwelling units",35862462,7825
"2013","Hanko","Loans charged on business activities or a source of income","All household-dwelling units",9716436,2120
"2013","Hanko","Study loans","All household-dwelling units",1250768,273
"2013","Inkoo","Debts total","All household-dwelling units",202302704,84859
"2013","Inkoo","Housing loans","All household-dwelling units",148931352,62471
"2013","Inkoo","Other debts","All household-dwelling units",43559730,18272
"2013","Inkoo","Loans charged on business activities or a source of income","All household-dwelling units",8836350,3707
"2013","Inkoo","Study loans","All household-dwelling units",975275,409
"2013","Raasepori","Debts total","All household-dwelling units",760734161,56002
"2013","Raasepori","Housing loans","All household-dwelling units",573343091,42207
"2013","Raasepori","Other debts","All household-dwelling units",142649759,10501
"2013","Raasepori","Loans charged on business activities or a source of income","All household-dwelling units",39340840,2896
"2013","Raasepori","Study loans","All household-dwelling units",5400455,398
"2013","Aura","Debts total","All household-dwelling units",130710715,76529
"2013","Aura","Housing loans","All household-dwelling units",93062193,54486
"2013","Aura","Other debts","All household-dwelling units",30791582,18028
"2013","Aura","Loans charged on business activities or a source of income","All household-dwelling units",6245460,3657
"2013","Aura","Study loans","All household-dwelling units",611490,358
"2013","Koski Tl","Debts total","All household-dwelling units",67338348,57018
"2013","Koski Tl","Housing loans","All household-dwelling units",28411258,24057
"2013","Koski Tl","Other debts","All household-dwelling units",29672529,25125
"2013","Koski Tl","Loans charged on business activities or a source of income","All household-dwelling units",9024726,7642
"2013","Koski Tl","Study loans","All household-dwelling units",229840,195
"2013","Loimaa","Debts total","All household-dwelling units",384253066,46912
"2013","Loimaa","Housing loans","All household-dwelling units",202217929,24688
"2013","Loimaa","Other debts","All household-dwelling units",124522530,15202
"2013","Loimaa","Loans charged on business activities or a source of income","All household-dwelling units",54528587,6657
"2013","Loimaa","Study loans","All household-dwelling units",2984060,364
"2013","Marttila","Debts total","All household-dwelling units",64657016,67562
"2013","Marttila","Housing loans","All household-dwelling units",32741406,34213
"2013","Marttila","Other debts","All household-dwelling units",22655355,23673
"2013","Marttila","Loans charged on business activities or a source of income","All household-dwelling units",9043061,9449
"2013","Marttila","Study loans","All household-dwelling units",217208,227
"2013","Oripää","Debts total","All household-dwelling units",37275632,58243
"2013","Oripää","Housing loans","All household-dwelling units",17880613,27938
"2013","Oripää","Other debts","All household-dwelling units",16518149,25810
"2013","Oripää","Loans charged on business activities or a source of income","All household-dwelling units",2755915,4306
"2013","Oripää","Study loans","All household-dwelling units",120949,189
"2013","Pöytyä","Debts total","All household-dwelling units",247512157,64947
"2013","Pöytyä","Housing loans","All household-dwelling units",133813031,35112
"2013","Pöytyä","Other debts","All household-dwelling units",81575729,21405
"2013","Pöytyä","Loans charged on business activities or a source of income","All household-dwelling units",31025256,8141
"2013","Pöytyä","Study loans","All household-dwelling units",1098141,288
"2013","Salo","Debts total","All household-dwelling units",1345636337,51437
"2013","Salo","Housing loans","All household-dwelling units",945058168,36125
"2013","Salo","Other debts","All household-dwelling units",281871272,10774
"2013","Salo","Loans charged on business activities or a source of income","All household-dwelling units",109136320,4172
"2013","Salo","Study loans","All household-dwelling units",9570656,366
"2013","Somero","Debts total","All household-dwelling units",239699808,54206
"2013","Somero","Housing loans","All household-dwelling units",122330159,27664
"2013","Somero","Other debts","All household-dwelling units",79701943,18024
"2013","Somero","Loans charged on business activities or a source of income","All household-dwelling units",36884847,8341
"2013","Somero","Study loans","All household-dwelling units",782906,177
"2013","Kaarina","Debts total","All household-dwelling units",1071685577,77777
"2013","Kaarina","Housing loans","All household-dwelling units",857173324,62209
"2013","Kaarina","Other debts","All household-dwelling units",159223466,11556
"2013","Kaarina","Loans charged on business activities or a source of income","All household-dwelling units",48593696,3527
"2013","Kaarina","Study loans","All household-dwelling units",6695166,486
"2013","Lieto","Debts total","All household-dwelling units",634220992,82592
"2013","Lieto","Housing loans","All household-dwelling units",489847067,63790
"2013","Lieto","Other debts","All household-dwelling units",113566378,14789
"2013","Lieto","Loans charged on business activities or a source of income","All household-dwelling units",27735634,3612
"2013","Lieto","Study loans","All household-dwelling units",3071959,400
"2013","Masku","Debts total","All household-dwelling units",361277515,95728
"2013","Masku","Housing loans","All household-dwelling units",286509307,75917
"2013","Masku","Other debts","All household-dwelling units",60722060,16090
"2013","Masku","Loans charged on business activities or a source of income","All household-dwelling units",12563595,3329
"2013","Masku","Study loans","All household-dwelling units",1482614,393
"2013","Mynämäki","Debts total","All household-dwelling units",234632517,65871
"2013","Mynämäki","Housing loans","All household-dwelling units",148794584,41773
"2013","Mynämäki","Other debts","All household-dwelling units",55016002,15445
"2013","Mynämäki","Loans charged on business activities or a source of income","All household-dwelling units",29548725,8296
"2013","Mynämäki","Study loans","All household-dwelling units",1273197,357
"2013","Naantali","Debts total","All household-dwelling units",640449507,73387
"2013","Naantali","Housing loans","All household-dwelling units",468339205,53666
"2013","Naantali","Other debts","All household-dwelling units",130541222,14958
"2013","Naantali","Loans charged on business activities or a source of income","All household-dwelling units",37693688,4319
"2013","Naantali","Study loans","All household-dwelling units",3875492,444
"2013","Nousiainen","Debts total","All household-dwelling units",166262557,85924
"2013","Nousiainen","Housing loans","All household-dwelling units",122514209,63315
"2013","Nousiainen","Other debts","All household-dwelling units",32689676,16894
"2013","Nousiainen","Loans charged on business activities or a source of income","All household-dwelling units",10412642,5381
"2013","Nousiainen","Study loans","All household-dwelling units",646031,334
"2013","Paimio","Debts total","All household-dwelling units",338854584,71837
"2013","Paimio","Housing loans","All household-dwelling units",253689820,53782
"2013","Paimio","Other debts","All household-dwelling units",60888859,12908
"2013","Paimio","Loans charged on business activities or a source of income","All household-dwelling units",22081007,4681
"2013","Paimio","Study loans","All household-dwelling units",2194942,465
"2013","Raisio","Debts total","All household-dwelling units",640071525,55350
"2013","Raisio","Housing loans","All household-dwelling units",504217467,43602
"2013","Raisio","Other debts","All household-dwelling units",102247149,8842
"2013","Raisio","Loans charged on business activities or a source of income","All household-dwelling units",29066095,2513
